date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-19 21:51:15,0.0,0.0,0.0,0.43,0.84,0.41,"['2020-09-19 21:51:15', 0.0, 0.0, 0.0, 0.43, 0.84, 0.41, [...]]"
2020-09-19 21:51:16,0.0,0.0,0.0,0.51,0.69,0.43,"['2020-09-19 21:51:16', 0.0, 0.0, 0.0, 0.51, 0.69, 0.43, [...]]"
2020-09-19 21:51:17,0.0,0.0,0.0,0.51,0.69,0.43,"['2020-09-19 21:51:17', 0.0, 0.0, 0.0, 0.51, 0.69, 0.43, [...]]"
2020-09-19 21:51:18,0.0,0.0,0.0,0.79,0.64,0.49,"['2020-09-19 21:51:18', 0.0, 0.0, 0.0, 0.79, 0.64, 0.49, [...]]"
2020-09-19 21:51:18,0.0,0.0,0.0,0.37,1.03,0.19,"['2020-09-19 21:51:18', 0.0, 0.0, 0.0, 0.37, 1.03, 0.19, [...]]"
2020-09-19 21:51:19,0.0,0.0,0.0,0.37,1.03,0.19,"['2020-09-19 21:51:19', 0.0, 0.0, 0.0, 0.37, 1.03, 0.19, [...]]"
2020-09-19 21:51:20,0.0,0.0,0.0,0.41,0.91,0.13,"['2020-09-19 21:51:20', 0.0, 0.0, 0.0, 0.41, 0.91, 0.13, [...]]"
2020-09-19 21:51:20,0.0,0.0,0.0,0.41,0.86,0.08,"['2020-09-19 21:51:20', 0.0, 0.0, 0.0, 0.41, 0.86, 0.08, [...]]"
2020-09-19 21:51:21,0.0,0.0,0.0,0.48,0.86,0.08,"['2020-09-19 21:51:21', 0.0, 0.0, 0.0, 0.48, 0.86, 0.08, [...]]"
2020-09-19 21:51:22,0.0,0.0,0.0,0.44,0.88,0.09,"['2020-09-19 21:51:22', 0.0, 0.0, 0.0, 0.44, 0.88, 0.09, [...]]"
2020-09-19 21:51:23,0.0,0.0,0.0,0.44,0.88,0.11,"['2020-09-19 21:51:23', 0.0, 0.0, 0.0, 0.44, 0.88, 0.11, [...]]"
2020-09-19 21:51:23,0.0,0.0,0.0,0.41,0.88,0.11,"['2020-09-19 21:51:23', 0.0, 0.0, 0.0, 0.41, 0.88, 0.11, [...]]"
2020-09-19 21:51:24,0.0,0.0,0.0,0.47,0.88,0.09,"['2020-09-19 21:51:24', 0.0, 0.0, 0.0, 0.47, 0.88, 0.09, [...]]"
