date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-18 18:36:38,0.01,0.0,0.01,1.84,1.56,1.82
2020-09-18 18:36:39,0.01,0.01,0.01,2.08,1.83,1.89
2020-09-18 18:36:40,0.01,0.01,0.01,2.08,1.49,3.31
2020-09-18 18:36:40,0.02,0.01,0.01,2.08,1.49,3.31
2020-09-18 18:36:41,0.01,0.02,0.01,4.9,1.72,10.13
2020-09-18 18:36:42,0.01,0.02,0.01,4.9,0.96,1.53
2020-09-18 18:36:43,0.01,0.01,0.01,1.68,0.96,1.53
2020-09-18 18:36:43,0.01,0.01,0.01,3.01,1.13,2.49
2020-09-18 18:36:44,0.01,0.01,0.01,3.01,1.13,2.49
2020-09-18 18:36:45,0.01,0.01,0.01,2.21,1.03,1.84
2020-09-18 18:36:45,0.01,0.01,0.02,2.95,2.2,3.07
2020-09-18 18:36:46,0.02,0.01,0.02,2.95,2.2,3.07
2020-09-18 18:36:47,0.01,0.0,0.01,2.3,1.02,1.84
2020-09-18 18:36:48,0.01,0.02,0.01,3.24,3.03,11.38
2020-09-18 18:36:49,0.01,0.02,0.01,3.24,3.03,11.38
2020-09-18 18:36:49,0.03,0.05,0.03,44.05,10.82,26.62
2020-09-18 18:36:50,0.03,0.08,0.08,37.25,24.33,74.56
2020-09-18 18:36:51,0.09,0.08,0.08,6.25,3.49,6.01
2020-09-18 18:36:52,0.03,0.01,0.02,6.25,3.49,6.01
2020-09-18 18:36:53,0.01,0.01,0.01,2.16,0.94,2.07
2020-09-18 18:36:54,0.01,0.0,0.01,2.45,1.63,2.89
2020-09-18 18:36:54,0.01,0.0,0.01,2.21,1.1,2.33
2020-09-18 18:36:55,0.01,0.0,0.01,2.21,1.1,3.4
2020-09-18 18:36:56,0.01,0.01,0.01,5.11,2.14,3.4
2020-09-18 18:36:57,0.01,0.01,0.1,50.42,26.46,40.45
2020-09-18 18:36:58,0.07,0.1,0.1,50.42,26.46,40.45
2020-09-18 18:36:58,0.14,0.16,0.17,49.43,35.49,30.18
2020-09-18 18:36:59,0.14,0.16,0.22,58.86,37.47,54.54
2020-09-18 18:37:00,0.18,0.18,0.22,58.86,37.47,54.54
2020-09-18 18:37:01,0.18,0.22,0.18,56.46,27.45,51.41
2020-09-18 18:37:01,0.18,0.22,0.18,29.67,19.44,32.38
2020-09-18 18:37:02,0.13,0.1,0.12,29.67,19.44,32.38
2020-09-18 18:37:03,0.05,0.04,0.04,9.01,7.79,13.6
2020-09-18 18:37:04,0.05,0.08,0.09,41.33,27.93,37.07
2020-09-18 18:37:05,0.08,0.08,0.09,41.33,27.93,37.07
2020-09-18 18:37:05,0.12,0.16,0.19,48.09,28.62,28.72
2020-09-18 18:37:06,0.12,0.16,0.16,36.07,22.5,36.71
2020-09-18 18:37:07,0.24,0.14,0.16,36.07,22.5,36.71
2020-09-18 18:37:08,0.16,0.12,0.09,22.47,42.03,40.96
2020-09-18 18:37:08,0.16,0.12,0.09,11.51,7.83,12.56
2020-09-18 18:37:09,0.11,0.06,0.12,11.51,7.83,12.56
2020-09-18 18:37:10,0.04,0.02,0.02,9.31,4.8,15.53
2020-09-18 18:37:11,0.04,0.02,0.02,9.31,3.16,7.48
2020-09-18 18:37:11,0.02,0.02,0.01,5.27,3.16,7.48
2020-09-18 18:37:12,0.02,0.0,0.0,2.05,1.77,1.69
2020-09-18 18:37:13,0.01,0.0,0.0,2.05,1.77,6.94
2020-09-18 18:37:13,0.03,0.0,0.0,1.76,4.78,6.94
2020-09-18 18:37:14,0.03,0.0,0.06,10.5,22.82,14.82
2020-09-18 18:37:15,0.08,0.03,0.06,10.5,22.82,14.82
2020-09-18 18:37:16,0.05,0.03,0.05,11.27,9.32,11.93
2020-09-18 18:37:16,0.05,0.03,0.05,3.19,2.07,3.48
2020-09-18 18:37:17,0.01,0.01,0.02,3.19,2.07,3.48
2020-09-18 18:37:18,0.01,0.0,0.01,1.19,2.03,1.71
2020-09-18 18:37:19,0.01,0.0,0.01,1.19,2.03,0.68
2020-09-18 18:37:19,0.0,0.0,0.0,0.94,1.07,0.68
2020-09-18 18:37:20,0.0,0.0,0.0,0.69,0.82,0.21
2020-09-18 18:37:21,0.0,0.0,0.0,0.69,0.82,0.21
