date,accX,accY,accZ,gyrX,gyrY,gyrZ,fall
2020-09-08 14:19:32,0.19,0.91,0.29,0.89,0.3,1.39,0.0
2020-09-08 14:19:33,0.19,0.91,0.29,1.04,0.49,1.38,0.0
2020-09-08 14:19:35,0.19,0.91,0.29,0.87,0.17,1.42,0.0
2020-09-08 14:19:36,0.19,0.91,0.29,0.8,0.19,1.41,0.0
2020-09-08 14:19:38,0.19,0.91,0.29,0.92,0.5,1.41,0.0
2020-09-08 14:19:39,0.19,0.91,0.29,0.91,0.82,1.35,0.0
2020-09-08 14:19:41,0.19,0.91,0.29,1.01,0.15,1.4,0.0
2020-09-08 14:19:43,0.19,0.91,0.29,0.9,0.22,1.4,0.0
2020-09-08 14:19:44,0.19,0.91,0.29,0.98,0.19,1.37,0.0
2020-09-08 14:19:46,0.19,0.91,0.29,0.87,0.24,1.43,0.0
2020-09-08 14:19:47,0.19,0.91,0.29,0.91,0.35,1.59,0.0
2020-09-08 14:20:04,0.17,0.53,0.72,3.65,4.68,6.97,0.0
2020-09-08 14:20:05,0.23,0.42,0.86,5.35,7.98,6.93,0.0
2020-09-08 14:20:22,0.52,0.75,0.26,26.92,19.31,19.68,0.0
2020-09-08 14:20:23,0.63,0.44,0.63,26.92,23.05,37.73,0.0
2020-09-08 14:20:24,0.79,0.45,0.44,32.17,17.58,30.62,0.0
2020-09-08 14:20:25,0.7,0.47,0.57,31.41,19.25,29.67,0.0
2020-09-08 14:20:26,0.72,0.52,0.52,28.25,19.25,27.76,0.0
2020-09-08 14:20:27,0.77,0.44,0.49,32.26,16.84,26.18,0.0
2020-09-08 14:20:29,0.78,0.39,0.49,31.38,21.81,26.83,0.0
2020-09-08 14:20:30,0.73,0.49,0.5,17.6,16.56,34.27,0.0
2020-09-08 14:20:31,0.73,0.58,0.45,41.58,17.18,34.27,0.0
2020-09-08 14:20:32,0.77,0.55,0.42,33.9,15.89,32.69,0.0
2020-09-08 14:20:33,0.65,0.73,0.56,36.69,30.93,37.38,0.0
2020-09-08 14:20:34,0.75,0.72,0.51,34.79,27.77,43.58,0.0
2020-09-08 14:20:35,0.82,0.69,0.43,33.82,21.14,43.54,0.0
2020-09-08 14:20:36,0.81,0.64,0.5,36.45,30.15,40.29,0.0
2020-09-08 14:20:38,0.83,0.8,0.51,43.17,38.6,52.02,0.0
2020-09-08 14:20:39,0.82,0.53,0.37,33.43,19.77,43.36,0.0
2020-09-08 14:20:40,0.85,0.47,0.41,133.91,24.76,58.24,0.0
2020-09-08 14:20:41,0.89,0.58,0.49,105.83,33.19,51.83,0.0
2020-09-08 14:20:42,0.74,0.7,0.69,154.99,63.55,64.95,0.0
2020-09-08 14:20:43,0.87,0.7,0.61,183.17,85.79,95.54,0.0
2020-09-08 14:20:44,0.87,0.6,0.6,107.38,68.78,62.11,0.0
2020-09-08 14:20:46,0.81,0.71,0.71,42.27,64.13,47.45,0.0
2020-09-08 14:20:47,0.87,0.58,0.59,62.77,54.7,66.23,0.0
2020-09-08 14:20:48,0.77,0.7,0.56,56.24,44.83,75.3,0.0
2020-09-08 14:20:49,0.89,0.62,0.54,41.35,60.65,64.7,0.0
2020-09-08 14:20:50,0.81,0.67,0.53,52.36,66.48,60.72,0.0
2020-09-08 14:20:51,0.74,0.56,0.64,41.66,60.67,71.3,0.0
